MSA,Tract ID,White Alone,Black or African American alone,Asian alone,Family Households,Nonfamily Households,Household income: < 10k,Household income: 10-15k,Household income: 15-20k,Household income: 20-25k,Household income: 25-30k,Household income: 30-35k,Household income: 35-40k,Household income: 40-45k,Household income: 45-50k,Household income: 50-60k,Household income: 60-75k,Household income: 75-100k,Household income: 100-125k,Household income: 125-150k,Household income: 150-200k,Household income: > 200k,With wage or salary income,No wage or salary income,With self-employment income,No self-employment income,With interest dividends or net rental income,No interest dividends or net rental income,With Social Security income,No Social Security income,With Supplemental Security Income (SSI),No Supplemental Security Income (SSI),With public assistance income,No public assistance income,With cash public assistance or Food Stamps/SNAP,No cash public assistance or Food Stamps/SNAP,With retirement income,No retirement income,Per capita income (2010 dollars),Housing units,Occupancy status: Occupied,Occupancy status: Vacant,Housing tenure: Owner-occupied,Housing tenure: Renter-occupied,Median number of rooms,Median gross rent (dollars),Median value for owner-occupied housing
San Francisco-Oakland-Hayward,6001406500,1820,1168,1041,1187,602,139,124,105,169,116,290,43,87,20,160,130,203,128,24,44,7,1313,476,206,1583,204,1585,342,1447,239,1550,130,1659,165,1624,286,1503,16979,2113,1789,1789,711,1078,4.4,945,414600
San Francisco-Oakland-Hayward,6001435400,1687,929,590,693,1228,84,149,118,111,153,186,88,83,151,164,156,160,73,62,154,29,1345,576,113,1808,374,1547,519,1402,99,1822,90,1831,122,1799,413,1508,29627,2154,1921,1921,514,1407,3.8,1077,409400
San Francisco-Oakland-Hayward,6001422100,1132,421,300,511,460,166,67,31,90,45,0,34,73,39,84,41,157,62,39,32,11,649,322,173,798,218,753,215,756,36,935,24,947,75,896,168,803,24161,1102,971,971,440,531,4,926,576400
San Francisco-Oakland-Hayward,6001426100,4622,78,1158,1725,290,24,26,0,0,27,24,10,73,34,25,39,115,205,249,221,943,1410,605,577,1438,1271,744,547,1468,32,1983,13,2002,13,2002,280,1735,84914,2105,2015,2015,1885,130,7.9,2001,1000001
San Francisco-Oakland-Hayward,6001433104,1427,828,449,486,1057,52,56,70,84,46,65,97,39,94,211,193,206,163,76,69,22,1170,373,184,1359,186,1357,367,1176,60,1483,33,1510,68,1475,187,1356,36260,1726,1543,1543,597,946,3.7,1143,382100
San Francisco-Oakland-Hayward,6001433103,1390,725,645,870,648,105,97,93,157,137,129,26,195,73,191,151,75,53,26,0,10,1309,209,113,1405,148,1370,239,1279,126,1392,12,1506,117,1401,73,1445,18345,1527,1518,1518,188,1330,3.4,992,511600
San Francisco-Oakland-Hayward,6001433102,1755,231,1334,885,358,58,55,99,33,93,0,43,63,29,135,130,233,167,49,22,34,942,301,171,1072,317,926,379,864,74,1169,40,1203,83,1160,248,995,29808,1298,1243,1243,802,441,5.2,1213,475000
San Francisco-Oakland-Hayward,6001431200,3927,341,555,1107,1315,136,166,79,144,88,144,112,243,30,110,374,265,272,69,151,39,1742,680,347,2075,632,1790,641,1781,150,2272,79,2343,125,2297,430,1992,33816,2693,2422,2422,1027,1395,4.5,1347,429200
San Francisco-Oakland-Hayward,6001423800,2170,22,274,787,426,19,16,0,55,7,24,31,17,24,77,116,52,69,123,109,474,799,414,345,868,863,350,355,858,12,1201,0,1213,0,1213,275,938,83555,1325,1213,1213,983,230,6.8,1416,1000001
San Francisco-Oakland-Hayward,6001408600,1351,2641,231,1289,422,191,213,187,98,93,121,77,81,61,114,161,165,34,66,42,7,1211,500,223,1488,53,1658,386,1325,237,1474,105,1606,273,1438,235,1476,14508,1963,1711,1711,691,1020,4.8,963,377200
San Francisco-Oakland-Hayward,6001430300,2864,160,566,965,314,86,25,14,26,56,25,49,21,33,27,124,142,156,146,160,189,920,359,212,1067,637,642,486,793,24,1255,0,1279,0,1279,265,1014,44546,1327,1279,1279,1096,183,6.7,1438,658500
San Francisco-Oakland-Hayward,6001443321,669,236,2212,790,461,99,92,41,0,40,50,5,57,52,120,111,171,215,80,70,48,1046,205,122,1129,264,987,97,1154,129,1122,54,1197,54,1197,77,1174,31433,1301,1251,1251,582,669,4.2,1499,361700
San Francisco-Oakland-Hayward,6001443322,976,210,1367,696,158,0,0,0,0,28,0,28,11,28,71,55,101,123,142,136,131,791,63,125,729,380,474,145,709,45,809,37,817,37,817,91,763,41558,959,854,854,749,105,6.4,1973,709800
San Francisco-Oakland-Hayward,6001423601,2463,45,404,524,701,97,77,35,47,34,0,69,15,77,32,101,123,122,96,172,128,977,248,339,886,643,582,214,1011,24,1201,0,1225,13,1212,152,1073,41876,1293,1225,1225,400,825,4.3,1221,707100
San Francisco-Oakland-Hayward,6001440336,1174,513,1906,1115,365,88,61,27,83,27,84,98,55,41,84,139,252,123,119,199,0,1202,278,85,1395,376,1104,346,1134,31,1449,110,1370,121,1359,327,1153,26504,1566,1480,1480,906,574,5.1,1541,511100
San Francisco-Oakland-Hayward,6001423602,2238,126,2472,484,1841,663,64,188,98,89,49,116,227,75,179,178,249,44,46,21,39,1556,769,231,2094,712,1613,157,2168,11,2314,11,2314,39,2286,147,2178,19200,2546,2325,2325,277,2048,3.3,1356,519900
San Francisco-Oakland-Hayward,6001410500,429,1374,448,626,440,262,123,75,99,112,122,12,63,0,13,79,14,50,37,5,0,585,481,107,959,22,1044,231,835,164,902,146,920,317,749,155,911,15328,1146,1066,1066,122,944,4.4,515,372700
San Francisco-Oakland-Hayward,6001403600,1384,1960,723,822,1875,73,128,0,127,129,179,143,137,246,287,456,213,231,64,151,133,2214,483,250,2447,637,2060,451,2246,21,2676,43,2654,69,2628,368,2329,41690,2978,2697,2697,534,2163,3.4,1146,360200
San Francisco-Oakland-Hayward,6001421300,3191,0,317,1056,509,10,47,28,61,34,25,31,46,8,62,76,197,210,100,210,420,1145,420,529,1036,1002,563,473,1092,7,1558,22,1543,22,1543,366,1199,61537,1679,1565,1565,1344,221,6.1,1398,863500
San Francisco-Oakland-Hayward,6001406900,2013,660,1192,1078,473,38,73,72,30,24,53,47,187,60,94,171,229,146,50,98,179,1296,255,244,1307,530,1021,268,1283,16,1535,41,1510,41,1510,169,1382,39454,1647,1551,1551,940,611,5,1090,558200
San Francisco-Oakland-Hayward,6001401300,1381,1344,629,511,1033,353,223,127,25,128,70,84,59,68,66,75,89,42,8,104,23,952,592,94,1450,151,1393,167,1377,220,1324,130,1414,218,1326,151,1393,20735,1857,1544,1544,217,1327,3,892,363500
San Francisco-Oakland-Hayward,6001402800,566,960,401,222,1108,352,278,97,62,91,27,64,9,39,54,68,127,31,10,12,9,630,700,78,1252,89,1241,390,940,207,1123,164,1166,186,1144,97,1233,21229,1544,1330,1330,128,1202,2.4,449,335300
San Francisco-Oakland-Hayward,6001444400,2331,142,723,1095,258,9,15,17,49,18,49,12,119,48,156,186,214,182,129,108,42,1252,101,124,1229,205,1148,281,1072,37,1316,7,1346,32,1321,190,1163,24085,1503,1353,1353,918,435,5,1418,466600
San Francisco-Oakland-Hayward,6001435300,1829,1159,759,1046,545,176,103,27,5,91,73,68,116,29,144,371,161,119,32,54,22,1268,323,216,1375,140,1451,212,1379,117,1474,152,1439,233,1358,183,1408,21213,1770,1591,1591,627,964,4.3,1198,459200
San Francisco-Oakland-Hayward,6001402200,917,910,134,417,445,184,88,59,68,50,21,0,46,40,92,47,71,29,58,0,9,497,365,143,719,120,742,122,740,92,770,125,737,176,686,32,830,17468,1044,862,862,215,647,4.6,942,445200
San Francisco-Oakland-Hayward,6001442301,2036,63,1753,990,422,53,60,0,58,59,15,49,141,80,104,110,204,219,97,113,50,1208,204,153,1259,470,942,334,1078,16,1396,28,1384,28,1384,199,1213,26872,1477,1412,1412,827,585,5.2,1365,581600
San Francisco-Oakland-Hayward,6001430400,1603,36,219,616,142,11,10,0,32,9,0,31,18,10,41,89,62,135,86,88,136,575,183,168,590,356,402,272,486,19,739,9,749,9,749,206,552,49794,758,758,758,707,51,6.7,863,661700
San Francisco-Oakland-Hayward,6001410000,871,1265,218,799,399,80,34,43,11,63,53,102,38,24,83,101,54,210,129,111,62,801,397,217,981,378,820,502,696,78,1120,53,1145,64,1134,333,865,35262,1243,1198,1198,1058,140,6.2,1674,614100
San Francisco-Oakland-Hayward,6001428500,1425,272,1344,791,653,49,105,44,87,13,46,68,69,71,141,134,272,202,71,27,45,1102,342,229,1215,570,874,280,1164,16,1428,57,1387,65,1379,239,1205,33639,1543,1444,1444,525,919,4,1421,600600
San Francisco-Oakland-Hayward,6001427700,2407,496,1571,1225,1018,123,82,36,193,55,49,68,27,140,259,292,330,261,108,49,171,1733,510,461,1782,804,1439,293,1950,112,2131,78,2165,119,2124,188,2055,36037,2418,2243,2243,843,1400,4,1299,630500
San Francisco-Oakland-Hayward,6001408300,1655,2490,146,1238,623,127,104,106,17,209,91,73,77,69,106,178,243,143,154,85,79,1481,380,257,1604,444,1417,430,1431,182,1679,165,1696,201,1660,283,1578,26466,1954,1861,1861,1251,610,5.4,1267,443400
San Francisco-Oakland-Hayward,6001433800,3751,1269,2520,1727,769,127,114,131,164,74,163,33,175,60,281,389,225,97,242,144,77,1906,590,267,2229,371,2125,608,1888,243,2253,163,2333,281,2215,457,2039,22519,2567,2496,2496,1230,1266,4.8,1114,412300
San Francisco-Oakland-Hayward,6001421600,2723,97,417,904,667,7,69,66,37,44,9,52,89,38,49,120,124,185,160,241,281,1046,525,546,1025,936,635,571,1000,8,1563,0,1571,0,1571,394,1177,62217,1669,1571,1571,1165,406,5.9,1175,878400
San Francisco-Oakland-Hayward,6001401400,792,1578,559,655,699,203,205,149,123,54,82,85,67,97,39,92,58,59,28,13,0,931,423,119,1235,77,1277,234,1120,214,1140,127,1227,180,1174,164,1190,15483,1853,1354,1354,242,1112,3.9,869,368800
San Francisco-Oakland-Hayward,6001421800,1418,221,202,522,310,28,35,12,22,60,0,9,11,11,64,37,169,80,39,113,142,632,200,213,619,400,432,189,643,59,773,61,771,61,771,148,684,46869,919,832,832,594,238,5.8,1383,732500
San Francisco-Oakland-Hayward,6001451102,3391,0,313,1191,135,0,0,0,14,0,11,0,19,34,8,32,72,172,145,318,501,1065,261,207,1119,631,695,332,994,21,1305,7,1319,7,1319,422,904,63750,1326,1326,1326,1264,62,8,1773,912300
San Francisco-Oakland-Hayward,6001451101,5240,86,1068,1822,451,10,32,10,146,30,82,18,3,42,89,199,283,193,200,433,503,1999,274,264,2009,910,1363,289,1984,81,2192,0,2273,24,2249,347,1926,49530,2408,2273,2273,1753,520,6.3,1596,682300
San Francisco-Oakland-Hayward,6001404000,1784,344,343,486,1238,96,51,118,50,74,53,64,75,124,111,161,313,209,110,69,46,1386,338,230,1494,477,1247,143,1581,58,1666,48,1676,48,1676,166,1558,46039,1866,1724,1724,411,1313,3.6,1171,395400
San Francisco-Oakland-Hayward,6001402500,281,1363,153,503,283,230,96,0,50,31,56,9,42,36,30,64,76,28,22,7,9,513,273,75,711,42,744,120,666,147,639,63,723,131,655,64,722,16468,867,786,786,207,579,4.5,568,285200
